"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Description"
"C0805C104Z5VACTU","KEMET","399-1177-1-ND","","","Cut Tape (CT)","Active","20","0.05700","$1.14","CAP CER 0.1UF 50V Y5V 0805"
"C0805C103K1RAC7210","KEMET","399-17617-1-ND","","","Cut Tape (CT)","Active","20","0.06800","$1.36","CAP CER SMD 0805 .01UF 100V X7R"
"C0805C220J5GACTU","KEMET","399-1113-1-ND","","","Cut Tape (CT)","Active","20","0.07000","$1.40","CAP CER 22PF 50V C0G/NP0 0805"
"C0805C102J5GACTU","KEMET","399-1136-1-ND","","","Cut Tape (CT)","Active","20","0.09500","$1.90","CAP CER 1000PF 50V C0G/NP0 0805"
"MMBT3906-7-F","Diodes Incorporated","MMBT3906-FDICT-ND","","","Cut Tape (CT)","Active","2","0.12000","$0.24","TRANS PNP 40V 0.2A SOT23-3"
"MMBT2907A-7-F","Diodes Incorporated","MMBT2907A-FDICT-ND","","","Cut Tape (CT)","Active","2","0.13000","$0.26","TRANS PNP 60V 0.6A SOT23-3"
"MCP6002T-I/SN","Microchip Technology","MCP6002T-I/SNCT-ND","","","Cut Tape (CT)","Active","3","0.33000","$0.99","IC OPAMP GP 2 CIRCUIT 8SOIC"
"0751.0062","Schurter Inc.","486-1172-ND","","","Bulk","Active","4","0.17000","$0.68","FUSE CLIP CARTRIDGE 10A PCB"
"S1M-13-F","Diodes Incorporated","S1M-FDICT-ND","","","Cut Tape (CT)","Active","25","0.16360","$4.09","DIODE GEN PURP 1KV 1A SMA"
"ERJ-3GEYJ222V","Panasonic Electronic Components","P2.2KGCT-ND","","","Cut Tape (CT)","Active","10","0.04500","$0.45","RES SMD 2.2K OHM 5% 1/10W 0603"
"ERJ-3GEYJ102V","Panasonic Electronic Components","P1.0KGCT-ND","","","Cut Tape (CT)","Active","30","0.04400","$1.32","RES SMD 1K OHM 5% 1/10W 0603"
"ERJ-3GEYJ103V","Panasonic Electronic Components","P10KGCT-ND","","","Cut Tape (CT)","Active","30","0.04200","$1.26","RES SMD 10K OHM 5% 1/10W 0603"
"ESR03EZPJ101","Rohm Semiconductor","RHM100DCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","RES SMD 100 OHM 5% 1/4W 0603"
"CRGCQ0603J22K","TE Connectivity Passive Product","A130099CT-ND","","","Cut Tape (CT)","Active","10","0.02100","$0.21","CRGCQ 0603 22K 5%"
"RMCF0603FT29K4","Stackpole Electronics Inc","738-RMCF0603FT29K4CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","RES 29.4K OHM 1% 1/10W 0603"
"TPS54331DDAR","Texas Instruments","296-39419-1-ND","","","Cut Tape (CT)","Active","2","1.50000","$3.00","IC REG BUCK ADJUSTABLE 3A 8SOPWR"
"LT3083EQ#TRPBF","Linear Technology/Analog Devices","LT3083EQ#TRPBFCT-ND","","","Cut Tape (CT)","Active","1","10.44000","$10.44","IC REG LINEAR POS ADJ 3A 5DDPAK"
"B340A-13-F","Diodes Incorporated","B340A-FDICT-ND","","","Cut Tape (CT)","Active","2","0.41000","$0.82","DIODE SCHOTTKY 40V 3A SMA"
"860020573008","Würth Elektronik","732-8942-1-ND","","","Cut Tape (CT)","Active","2","0.14000","$0.28","CAP ALUM 100UF 20% 35V RADIAL"
"860020572001","Würth Elektronik","732-8935-1-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","CAP ALUM 4.7UF 20% 35V RADIAL"
"SDE0604A-5R6M","Bourns Inc.","SDE0604A-5R6MCT-ND","","","Cut Tape (CT)","Active","1","0.64000","$0.64","FIXED IND 5.6UH 3.2A 75 MOHM SMD"
"TIP122","STMicroelectronics","497-2543-5-ND","","","Tube","Active","2","0.64000","$1.28","TRANS NPN DARL 100V 5A TO-220"
"NCP1117DT50G","ON Semiconductor","NCP1117DT50GOS-ND","","","Tube","Active","1","0.41000","$0.41","IC REG LINEAR 5V 1A DPAK"
"MCP4725A1T-E/CH","Microchip Technology","MCP4725A1T-E/CHCT-ND","","","Cut Tape (CT)","Active","2","0.96000","$1.92","IC DAC 12BIT V-OUT SOT23-6"
"ADS1115IDGSR","Texas Instruments","296-38849-1-ND","","","Cut Tape (CT)","Active","1","5.36000","$5.36","IC ADC 16BIT SIGMA-DELTA 10VSSOP"
"61301011821","Würth Elektronik","732-2859-ND","","","Tray","Active","1","0.65000","$0.65","CONN HDR 10POS 0.1 GOLD PCB"
"CMI-1295-0585T","CUI Devices","102-CMI-1295-0585T-ND","","","Box","Active","1","1.17000","$1.17","BUZZER, 12 MM X 9.5 MM DEEP, M,"
"MMBT3904-7-F","Diodes Incorporated","MMBT3904-FDICT-ND","","","Cut Tape (CT)","Active","10","0.10600","$1.06","TRANS NPN 40V 0.2A SMD SOT23-3"
"LM358DT","STMicroelectronics","497-1591-1-ND","","","Cut Tape (CT)","Active","2","0.46000","$0.92","IC OPAMP GP 2 CIRCUIT 8SO"
"04JQ-BT","JST Sales America Inc.","455-2967-ND","","","Bulk","Active","1","0.43000","$0.43","CONN RCPT 4POS 0.098 TIN PCB"
"B4B-XH-A(LF)(SN)","JST Sales America Inc.","455-2249-ND","","","Bulk","Active","1","0.21000","$0.21","CONN HEADER VERT 4POS 2.5MM"
"08JQ-BT","JST Sales America Inc.","455-2970-ND","","","Bulk","Active","1","0.53000","$0.53","CONN RCPT 8POS 0.098 TIN PCB"
"B8B-XH-AM(LF)(SN)","JST Sales America Inc.","455-2232-ND","","","Bulk","Active","1","0.37000","$0.37","CONN HEADER VERT 8POS 2.5MM"
"3049","Keystone Electronics","36-3049-ND","","","Bulk","Active","2","0.15000","$0.30","WASHER SHOULDER #4 NYLON"
"HF115AC-0.0055-AC-54","Bergquist","BER167-ND","","","Bulk","Active","2","0.10000","$0.20","THERM PAD 19.05MMX12.7MM W/ADH"
"MF52A2103J3470","Cantherm","317-1258-ND","","","Bulk","Active","1","0.43000","$0.43","THERMISTOR NTC 10KOHM 3470K BEAD"
"LEDM-2-08","Essentra Components","RPC4261-ND","","","Bulk","Active","1","0.38000","$0.38","LED SPACER 3MM T-1 BLACK 8MM"
"PEC16-4220F-N0024","Bourns Inc.","PEC16-4220F-N0024-ND","","","Tray","Active","1","1.28000","$1.28","ROTARY ENCODER MECHANICAL 24PPR"
"5MF 5-R","Bel Fuse Inc.","507-1269-ND","","","Box","Active","2","0.24000","$0.48","FUSE GLASS 5A 125VAC 5X20MM"
"G5LE-14 DC5","Omron Electronics Inc-EMC Div","Z1011-ND","","","Tray","Active","2","1.44000","$2.88","RELAY GEN PURPOSE SPDT 10A 5V"
"V8818V","Assmann WSW Components","AE10831-ND","","","Tray","Active","2","1.50000","$3.00","HEATSINK ALUM ANOD"
"ERT-J1VR103H","Panasonic Electronic Components","P13707CT-ND","","","Cut Tape (CT)","Active","2","0.19000","$0.38","THERMISTOR NTC 10KOHM 4250K 0603"
"TFPT0603L1001FM","Vishay Dale","541-3527-1-ND","","","Cut Tape (CT)","Active","2","1.32000","$2.64","THERMISTOR PTC 1K OHM 1% 0603"
"LT3083EQ#PBF","Linear Technology/Analog Devices","LT3083EQ#PBF-ND","","","Tube","Active","1","10.28000","$10.28","IC REG LINEAR POS ADJ 3A 5DDPAK"
"MMSZ5231B-7-F","Diodes Incorporated","MMSZ5231B-FDICT-ND","","","Cut Tape (CT)","Active","7","0.15000","$1.05","DIODE ZENER 5.1V 500MW SOD123"
"J49SMH-F-G-G-K-16M0","Jauch Quartz","1908-J49SMH-F-G-G-K-16M0CT-ND","","","Cut Tape (CT)","Active","1","0.24000","$0.24","CRYSTAL 16MHZ 18PF SMD"
"CSRN2512FKR100","Stackpole Electronics Inc","CSRN2512FKR100CT-ND","","","Cut Tape (CT)","Active","2","0.69000","$1.38","RES 0.1 OHM 1% 2W 2512"